ID	w1	L1	c1	pc	spelling	coca	pcoca	pbnc	psoap	ph3	ph2	ph1	pc1	pc2	pc3	pc4	pc5	pb1	pb2	pb3	pb4	pb5	pb6	pb7	tpcoca	tpbnc	tpsoap	tph3	tph2	tph1	tpc1	tpc2	tpc3	tpc4	tpc5	tpb1	tpb2	tpb3	tpb4	tpb5	tpb6	tpb7	bnc	fs	fh3	fh2	fh1	fc1	fc2	fc3	fc4	fc5	fb1	fb2	fb3	fb4	fb5	fb6	fb7	tcoca	tbnc	tsoap	th3	th2	th1	tc1	tc2	tc3	tc4	tc5	tb1	tb2	tb3	tb4	tb5	tb6	tb7	
558	goes	go	vvz	0.02	  	74002	159.37	143.53	147.61	177.56	198.25	115.83	248.07	176.71	148.70	149.45	70.26	520.09	99.06	167.58	145.99	87.18	82.44	103.09	0.23	0.69	0.46	0.13	0.14	0.32	0.35	0.28	0.20	0.19	0.20	0.69	0.86	0.92	0.62	0.68	0.65	0.61	14353	14761	17339	23672	15167	23707	15980	14210	13707	6398	5182	1576	1217	1528	1438	1264	2148	44276	2779	10137	5451	5452	3487	13324	5227	10452	10929	4344	621	399	195	321	362	326	555
559	ground	ground	nn1	0.03	  	73800	158.94	149.50	38.51	162.11	185.16	229.27	143.33	227.14	199.52	131.21	92.99	82.10	192.78	200.50	220.90	129.61	117.47	161.17	0.19	0.62	0.15	0.12	0.16	0.45	0.18	0.37	0.19	0.14	0.21	0.33	0.91	0.86	0.58	0.74	0.71	0.62	14950	3851	15831	22108	30020	13697	20540	19066	12034	8468	818	3067	1456	2312	2138	1801	3358	36524	2512	3232	5260	6259	4890	6844	6990	10104	8100	4486	289	421	181	301	394	355	571
560	running	running	nn1	0.04	  	73501	158.29	133.46	162.67	153.61	125.22	72.91	182.47	196.84	162.98	199.45	48.34	140.41	175.37	198.16	187.93	129.86	56.16	131.89	0.22	0.68	0.47	0.13	0.12	0.24	0.25	0.39	0.18	0.20	0.13	0.51	0.92	0.90	0.62	0.86	0.57	0.69	13346	16267	15001	14951	9546	17438	17800	15574	18293	4402	1399	2790	1439	1967	2142	861	2748	41223	2759	10262	5645	4864	2661	9466	7479	9845	11587	2846	450	426	189	319	459	284	632
561	energy	energy	nn1	0.15	  	73500	158.29	119.53	24.09	103.62	62.50	57.70	101.48	56.38	236.19	155.60	240.10	44.86	41.42	94.88	64.49	258.08	117.86	164.10	0.13	0.42	0.09	0.08	0.07	0.24	0.10	0.15	0.16	0.11	0.20	0.12	0.55	0.65	0.41	0.58	0.45	0.51	11953	2409	10119	7463	7555	9698	5098	22570	14271	21865	447	659	689	675	4257	1807	3419	25518	1710	2041	3412	2591	2649	3945	2751	8270	6205	4347	103	254	137	210	309	226	471
562	takes	take	vvz	0.02	  	73322	157.91	114.24	114.34	151.25	136.40	92.03	140.13	206.51	181.60	155.62	105.74	130.78	62.67	186.04	142.26	100.45	122.88	131.65	0.23	0.65	0.37	0.12	0.12	0.31	0.24	0.26	0.23	0.20	0.28	0.50	0.68	0.96	0.60	0.71	0.75	0.66	11424	11434	14770	16286	12050	13392	18675	17353	14273	9629	1303	997	1351	1489	1657	1884	2743	43609	2629	8214	5007	4782	3325	9052	4835	12460	11282	5980	446	316	202	310	378	376	601
563	available	available	jj	0.04	  	73262	157.78	266.64	26.80	98.24	56.20	13.88	77.25	29.93	214.89	168.76	298.33	105.58	30.67	375.93	195.58	332.46	327.95	472.04	0.21	0.69	0.10	0.11	0.10	0.11	0.13	0.11	0.22	0.18	0.48	0.36	0.48	0.97	0.64	0.94	0.86	0.87	26664	2680	9593	6711	1817	7382	2707	20535	15478	27168	1052	488	2730	2047	5484	5028	9835	38981	2809	2278	4890	3783	1173	4854	1871	11816	10229	10211	319	224	205	332	504	432	793
564	change	change	nn1	0.05	  	73187	157.62	196.99	64.86	125.66	121.58	139.42	125.85	66.29	142.26	143.17	312.36	110.20	81.40	132.33	150.67	258.98	342.95	251.40	0.19	0.69	0.23	0.12	0.14	0.38	0.17	0.20	0.15	0.16	0.42	0.40	0.80	0.89	0.64	0.86	0.81	0.73	19699	6486	12271	14517	18255	12027	5995	13594	13131	28445	1098	1295	961	1577	4272	5258	5238	36311	2777	5094	5144	5435	4179	6473	3660	8246	9103	8829	353	372	188	330	460	406	668
565	light	light	nn1	0.07	  	73109	157.45	136.00	63.38	219.94	241.23	299.92	56.40	365.38	197.93	77.64	94.93	89.53	318.87	155.47	66.02	129.07	75.01	121.72	0.16	0.56	0.21	0.09	0.13	0.40	0.09	0.48	0.17	0.09	0.19	0.31	0.93	0.90	0.48	0.62	0.59	0.55	13600	6338	21478	28803	39270	5390	33041	18914	7121	8645	892	5073	1129	691	2129	1150	2536	31016	2276	4532	3910	5206	4387	3579	9079	9144	5165	4049	272	432	189	250	331	294	508
566	boy	boy	nn1	0.14	  	73088	157.41	125.45	252.08	307.16	342.69	262.68	137.42	422.72	98.17	95.66	39.32	165.80	354.70	77.25	156.60	55.11	35.68	76.51	0.14	0.41	0.56	0.10	0.12	0.25	0.17	0.42	0.10	0.09	0.07	0.32	0.86	0.66	0.44	0.34	0.26	0.32	12545	25208	29995	40918	34394	13133	38226	9381	8774	3581	1652	5643	561	1639	909	547	1594	26414	1655	12214	4237	4646	2671	6533	7917	5070	5336	1558	284	400	140	227	182	131	291
567	stay	stay	vv0	0.12	  	72927	157.06	105.24	608.35	149.58	133.00	96.59	232.79	215.77	149.41	141.16	43.32	151.15	239.48	101.63	137.01	55.47	25.96	82.70	0.22	0.54	0.86	0.10	0.09	0.20	0.31	0.41	0.19	0.17	0.13	0.46	0.94	0.84	0.49	0.57	0.34	0.50	10524	60835	14607	15880	12647	22247	19512	14277	12947	3945	1506	3810	738	1434	915	398	1723	42468	2205	18859	4328	3573	2169	11861	7825	10149	9874	2759	405	436	178	253	304	169	460
568	month	month	nn1	0.02	  	72812	156.81	145.12	28.57	141.42	110.83	71.31	154.09	91.71	176.85	300.98	58.21	152.65	60.66	345.50	384.56	141.07	42.46	120.66	0.24	0.59	0.11	0.19	0.15	0.25	0.23	0.26	0.20	0.31	0.14	0.44	0.72	0.96	0.70	0.73	0.38	0.59	14512	2857	13810	13233	9337	14726	8293	16900	27605	5301	1521	965	2509	4025	2327	651	2514	44513	2410	2350	7904	6019	2698	8775	4784	10403	17513	3038	387	332	202	362	391	191	545
569	likely	likely	jj	0.01	  	72748	156.67	220.75	14.15	104.95	99.31	94.93	93.33	49.80	182.13	145.32	314.07	90.13	77.06	185.90	243.06	242.92	433.35	259.47	0.20	0.68	0.06	0.12	0.13	0.35	0.16	0.16	0.20	0.17	0.45	0.38	0.71	0.90	0.70	0.88	0.87	0.70	22075	1415	10249	11858	12430	8919	4503	17404	13328	28601	898	1226	1350	2544	4007	6644	5406	38740	2761	1305	5286	5275	3761	5964	2823	10546	9792	9615	334	328	190	364	469	438	638
570	difficult	difficult	jj	0.01	  	72655	156.47	214.27	81.08	117.51	106.49	94.34	194.87	69.23	146.43	148.35	221.53	209.46	137.15	215.78	169.21	232.43	308.77	252.07	0.24	0.75	0.28	0.12	0.14	0.36	0.27	0.20	0.19	0.19	0.47	0.58	0.86	0.94	0.66	0.83	0.89	0.76	21427	8108	11475	12715	12352	18623	6260	13993	13606	20174	2087	2182	1567	1771	3834	4734	5252	44610	3042	6137	5232	5494	3908	10349	3725	9976	10659	9901	516	400	199	343	444	447	693
571	private	private	jj	0.08	  	72545	156.24	170.97	77.01	164.29	129.65	117.29	126.09	79.93	169.38	197.67	208.17	72.06	102.02	158.91	189.46	185.75	230.44	241.03	0.18	0.59	0.26	0.16	0.15	0.36	0.16	0.21	0.16	0.18	0.28	0.28	0.78	0.74	0.60	0.75	0.63	0.62	17097	7701	16043	15481	15358	12050	7228	16186	18130	18957	718	1623	1154	1983	3064	3533	5022	34825	2374	5727	6708	6079	3933	6037	3874	8410	10558	5946	248	363	157	313	403	318	572
572	stop	stop	vv0	0.10	  	72029	155.12	121.91	786.36	155.02	120.83	78.03	202.90	254.99	140.89	128.41	47.66	230.44	245.08	125.31	147.14	73.96	35.22	85.72	0.22	0.59	0.91	0.10	0.11	0.25	0.27	0.45	0.18	0.16	0.14	0.57	0.94	0.90	0.52	0.58	0.44	0.51	12191	78636	15138	14428	10217	19390	23059	13463	11777	4340	2296	3899	910	1540	1220	540	1786	40752	2403	19951	4451	4254	2725	10327	8647	9582	9256	2940	513	435	189	267	310	218	471
573	friend	friend	nn1	0.03	  	71975	155.01	157.42	343.36	183.55	200.18	337.45	153.29	260.04	172.90	134.17	54.78	106.79	256.20	123.38	122.77	60.62	47.55	321.19	0.19	0.49	0.66	0.11	0.13	0.35	0.20	0.42	0.18	0.14	0.12	0.33	0.94	0.86	0.46	0.46	0.37	0.45	15742	34336	17924	23902	44185	14649	23515	16522	12306	4989	1064	4076	896	1285	1000	729	6692	35445	1991	14530	4707	5171	3779	7485	7986	9388	8090	2496	288	434	181	238	247	187	416
574	move	move	vv0	0.03	  	71834	154.70	130.62	214.69	145.38	90.48	65.16	178.26	196.04	155.65	144.62	98.10	256.63	159.40	120.63	120.67	108.58	79.38	135.44	0.23	0.67	0.52	0.11	0.10	0.24	0.25	0.38	0.19	0.18	0.26	0.56	0.93	0.83	0.55	0.79	0.64	0.62	13062	21469	14197	10804	8532	17035	17728	14874	13264	8934	2557	2536	876	1263	1791	1217	2822	42589	2703	11504	4851	3825	2627	9672	7223	10123	10055	5516	500	433	175	284	423	321	567
575	nation	nation	nn1	0.15	  	71770	154.57	42.60	1.68	165.04	135.50	139.41	208.27	21.70	146.77	231.41	160.95	15.56	8.86	39.93	61.43	70.26	58.31	46.94	0.19	0.28	0.01	0.20	0.16	0.32	0.24	0.06	0.14	0.22	0.23	0.10	0.18	0.50	0.39	0.42	0.31	0.30	4260	168	16117	16179	18254	19903	1962	14025	21224	14657	155	141	290	643	1159	894	978	35418	1130	162	8364	6436	3476	9289	1063	7361	12750	4955	81	85	105	202	225	156	276
576	rights	right	nn2	0.14	  	71678	154.37	125.63	28.66	108.94	73.73	115.73	164.07	26.09	110.92	189.84	281.61	48.28	19.23	118.70	117.71	203.82	239.05	127.43	0.13	0.42	0.09	0.10	0.10	0.29	0.16	0.09	0.09	0.15	0.22	0.15	0.37	0.59	0.49	0.63	0.57	0.42	12563	2866	10638	8804	15153	15679	2359	10599	17412	25645	481	306	862	1232	3362	3665	2655	25245	1685	2058	4467	3768	3166	6102	1510	4675	8334	4624	128	172	124	256	334	288	383
577	less	less	da	0.03	  	71447	153.87	138.79	38.52	135.21	136.73	155.24	110.04	73.23	220.12	170.34	193.92	83.00	74.42	163.59	135.00	167.02	191.43	171.68	0.24	0.69	0.15	0.15	0.17	0.45	0.19	0.22	0.26	0.21	0.43	0.41	0.77	0.90	0.64	0.87	0.82	0.72	13879	3852	13204	16326	20327	10516	6622	21034	15623	17660	827	1184	1188	1413	2755	2935	3577	45941	2779	3392	6499	6904	4867	7190	4116	13635	11952	9048	367	356	190	329	464	411	662
578	congress	congress	nn1	0.98	  	71041	153.00	51.21	0.47	161.61	142.38	155.07	309.62	9.63	117.05	177.43	144.17	62.53	2.70	44.62	53.50	161.62	26.74	23.76	0.12	0.14	0.00	0.15	0.14	0.27	0.22	0.03	0.08	0.13	0.13	0.05	0.05	0.21	0.23	0.24	0.14	0.15	5121	47	15782	17000	20304	29589	871	11185	16273	13129	623	43	324	560	2666	410	495	23298	564	36	6207	5662	2977	8253	412	4419	7447	2767	40	24	45	119	127	72	137
579	view	view	nn1	0.06	  	70824	152.53	232.30	17.40	155.20	167.64	195.15	133.45	101.13	156.44	124.05	248.22	184.17	117.04	169.10	145.51	255.59	451.16	271.13	0.20	0.72	0.07	0.15	0.19	0.46	0.19	0.24	0.17	0.15	0.41	0.43	0.82	0.91	0.64	0.88	0.95	0.73	23230	1740	15156	20017	25552	12753	9145	14949	11378	22604	1835	1862	1228	1523	4216	6917	5649	37820	2905	1493	6216	7388	5041	7262	4513	9074	8329	8642	382	381	193	332	471	476	670
580	turn	turn	vv0	0.05	  	70751	152.37	122.73	204.61	150.67	132.85	117.94	167.81	194.55	186.57	139.94	70.92	205.35	165.12	194.85	120.86	85.12	75.20	113.41	0.24	0.66	0.55	0.13	0.13	0.34	0.27	0.40	0.23	0.17	0.21	0.57	0.91	0.90	0.58	0.74	0.68	0.58	12273	20461	14713	15863	15443	16037	17593	17828	12835	6458	2046	2627	1415	1265	1404	1153	2363	44584	2687	12114	5472	5200	3658	10162	7667	12399	9926	4430	506	422	190	303	395	342	529
581	higher	high	jjr	0.05	  	70448	151.72	153.04	9.25	104.42	105.10	108.64	77.09	40.19	144.48	133.65	366.59	67.75	32.50	103.69	139.49	183.14	309.29	198.51	0.17	0.59	0.04	0.11	0.13	0.35	0.12	0.13	0.16	0.14	0.44	0.31	0.54	0.79	0.57	0.81	0.73	0.65	15304	925	10197	12549	14225	7367	3634	13806	12258	33384	675	517	753	1460	3021	4742	4136	33047	2380	791	4825	5162	3815	4581	2398	8425	8253	9390	276	250	166	294	435	365	594
582	seem	seem	vv0	0.00	  	69900	150.54	162.87	162.21	176.61	184.16	202.81	147.88	152.97	166.98	133.15	151.20	151.95	184.92	199.12	112.55	155.80	240.55	141.54	0.23	0.67	0.49	0.15	0.17	0.45	0.24	0.35	0.21	0.17	0.34	0.54	0.88	0.91	0.59	0.71	0.82	0.59	16287	16221	17247	21989	26555	14132	13833	15956	12212	13769	1514	2942	1446	1178	2570	3688	2949	44197	2723	10691	6335	6547	4929	9374	6523	11228	9857	7215	480	410	191	306	380	411	545
583	look	look	nn1	0.13	  	69692	150.09	122.73	190.68	156.09	147.46	146.60	230.00	267.34	128.05	92.81	31.00	349.77	284.93	168.82	67.36	39.95	20.22	65.03	0.20	0.55	0.54	0.09	0.07	0.21	0.30	0.43	0.16	0.12	0.10	0.60	0.92	0.89	0.41	0.50	0.33	0.48	12273	19068	15243	17607	19195	21980	24175	12236	8512	2823	3485	4533	1226	705	659	310	1355	37163	2233	11807	3640	2840	2286	11442	8200	8516	6802	2203	534	427	188	211	266	165	442
584	south	south	nn1	0.74	  	69638	149.98	159.77	12.64	161.37	154.82	146.57	105.50	87.06	170.90	252.68	133.89	105.58	77.00	181.49	275.45	223.34	116.88	193.09	0.17	0.55	0.05	0.14	0.14	0.31	0.14	0.20	0.15	0.20	0.19	0.29	0.62	0.89	0.63	0.68	0.48	0.61	15977	1264	15758	18486	19192	10082	7873	16331	23175	12193	1052	1225	1318	2883	3684	1792	4023	32513	2219	1048	5893	5661	3369	5343	3651	8062	11472	3985	258	289	187	328	362	239	556
585	single	single	jj	0.03	  	69547	149.78	170.11	67.00	127.63	120.38	148.75	114.83	123.20	191.98	133.46	185.38	95.55	90.01	214.95	124.49	221.16	247.79	207.15	0.22	0.68	0.24	0.12	0.14	0.40	0.19	0.31	0.22	0.16	0.38	0.37	0.78	0.91	0.58	0.92	0.83	0.72	17011	6700	12463	14374	19477	10974	11141	18345	12241	16882	952	1432	1561	1303	3648	3799	4316	41921	2747	5222	5205	5565	4368	7123	5788	11872	8978	8160	330	363	191	301	489	415	658
586	low	low	jj	0.06	  	69438	149.54	152.70	29.36	134.59	158.25	168.54	73.00	129.35	179.45	116.68	251.66	88.82	137.72	168.69	119.05	157.92	224.63	176.34	0.19	0.63	0.12	0.11	0.13	0.31	0.12	0.30	0.20	0.13	0.37	0.37	0.87	0.85	0.54	0.81	0.67	0.67	15270	2936	13143	18895	22068	6976	11697	17148	10702	22918	885	2191	1225	1246	2605	3444	3674	36274	2569	2568	4575	5088	3417	4586	5725	10503	7673	7787	325	405	180	279	433	334	613
587	industry	industry	nn1	0.05	  	69220	149.08	194.57	6.96	131.28	126.44	59.75	130.82	11.97	182.85	255.67	161.59	79.09	14.02	143.49	234.75	317.97	124.06	374.37	0.14	0.49	0.03	0.12	0.13	0.21	0.13	0.05	0.13	0.18	0.19	0.23	0.23	0.72	0.59	0.75	0.45	0.63	19457	696	12820	15097	7824	12502	1082	17473	23449	14715	788	223	1042	2457	5245	1902	7800	27089	1972	609	5042	5321	2238	4833	783	7115	10231	4127	203	107	152	304	403	226	577
588	summer	summer	nn1	0.10	  	69145	148.91	109.30	54.89	137.49	123.27	128.83	92.27	158.23	205.76	211.93	75.99	71.76	101.07	228.73	191.85	81.42	40.63	142.64	0.19	0.54	0.13	0.12	0.12	0.27	0.14	0.31	0.20	0.20	0.16	0.30	0.76	0.92	0.63	0.70	0.30	0.60	10930	5489	13426	14719	16869	8818	14309	19662	19438	6920	715	1608	1661	2008	1343	623	2972	36547	2204	2846	5115	4790	2917	5260	5744	10664	11483	3396	261	351	195	324	374	152	547
589	administration	administration	nn1	0.20	  	69128	148.88	64.62	1.50	182.94	102.46	59.23	258.01	8.95	111.92	195.62	165.01	18.67	6.98	42.00	48.44	137.19	114.14	64.31	0.14	0.31	0.01	0.18	0.13	0.21	0.22	0.04	0.09	0.15	0.23	0.11	0.13	0.31	0.30	0.57	0.49	0.38	6462	150	17865	12234	7756	24657	809	10695	17942	15027	186	111	305	507	2263	1750	1340	27258	1266	133	7616	5219	2327	8408	491	4792	8751	4816	89	62	66	155	302	243	349
590	myself	myself	pp	0.01	  	68978	148.55	118.74	404.81	202.75	217.99	301.51	138.71	334.99	140.79	83.03	48.13	164.90	313.09	126.27	71.66	61.29	24.79	105.21	0.17	0.47	0.79	0.08	0.10	0.27	0.20	0.44	0.14	0.10	0.10	0.53	0.90	0.78	0.38	0.34	0.30	0.36	11874	40481	19799	26028	39479	13256	30293	13454	7615	4383	1643	4981	917	750	1011	380	2192	31541	1919	17460	3463	3767	2943	7818	8291	7466	5737	2229	476	418	165	195	183	149	333
591	common	common	jj	0.06	  	68972	148.54	196.46	32.77	137.34	166.62	243.52	84.80	57.55	180.01	115.86	305.69	75.07	72.47	154.78	102.04	287.72	409.48	217.37	0.20	0.67	0.13	0.12	0.16	0.46	0.14	0.17	0.21	0.14	0.51	0.34	0.73	0.89	0.55	0.94	0.89	0.71	19646	3277	13412	19895	31886	8104	5204	17202	10626	27838	748	1153	1124	1068	4746	6278	4529	38555	2717	2758	5105	6345	4999	5332	3196	11057	8076	10894	301	337	187	287	504	447	654
592	areas	area	nn2	0.02	  	68930	148.45	230.48	2.96	101.69	35.39	3.50	90.29	15.29	160.97	137.78	339.30	146.93	14.33	178.33	140.07	318.70	432.18	322.15	0.17	0.61	0.01	0.10	0.05	0.02	0.13	0.06	0.16	0.14	0.45	0.38	0.29	0.87	0.55	0.85	0.73	0.77	23048	296	9930	4226	458	8629	1383	15382	12637	30899	1464	228	1295	1466	5257	6626	6712	32140	2463	270	4452	1825	202	5073	991	8384	8039	9653	339	135	183	284	454	366	702
593	force	force	nn1	0.19	  	68897	148.38	131.98	25.17	185.01	143.16	184.92	161.84	70.25	141.37	170.87	196.54	48.48	75.68	99.28	137.58	223.40	183.41	136.93	0.17	0.55	0.09	0.17	0.16	0.44	0.17	0.17	0.13	0.15	0.28	0.20	0.70	0.73	0.52	0.74	0.74	0.58	13198	2517	18067	17094	24213	15466	6353	13509	15672	17898	483	1204	721	1440	3685	2812	2853	31358	2220	1977	7102	6344	4799	6445	3206	6898	8783	6026	174	323	155	270	396	369	533
594	medical	medical	jj	0.22	  	68784	148.14	91.52	48.30	98.01	49.44	28.04	142.44	51.70	188.52	180.42	174.99	37.84	36.27	54.94	112.36	119.25	181.00	90.28	0.13	0.37	0.15	0.08	0.05	0.09	0.13	0.12	0.12	0.12	0.19	0.15	0.35	0.51	0.47	0.54	0.41	0.42	9152	4830	9571	5903	3672	13612	4675	18015	16548	15936	377	577	399	1176	1967	2775	1881	24863	1517	3377	3330	2076	1002	5143	2082	6627	6929	4082	125	164	108	245	288	206	381
595	park	park	nn1	0.62	  	68647	147.84	100.29	42.53	79.50	52.76	28.83	56.77	85.62	216.41	324.10	55.71	79.49	67.44	149.13	342.33	53.71	15.98	113.61	0.13	0.41	0.12	0.07	0.06	0.09	0.07	0.16	0.12	0.18	0.08	0.25	0.58	0.77	0.53	0.45	0.18	0.45	10029	4253	7763	6300	3775	5425	7743	20680	29726	5073	792	1073	1083	3583	886	245	2367	23653	1667	2647	2864	2523	1001	2600	2996	6173	10153	1731	215	268	163	277	240	89	415
596	relationship	relationship	nn1	0.02	  	68625	147.79	125.94	140.88	62.29	22.19	7.25	135.81	43.56	135.65	91.13	333.67	51.59	59.78	76.01	68.41	148.16	279.81	150.08	0.15	0.50	0.39	0.06	0.03	0.05	0.15	0.13	0.12	0.10	0.41	0.21	0.53	0.64	0.40	0.73	0.79	0.52	12594	14088	6083	2649	949	12979	3939	12963	8358	30386	514	951	552	716	2444	4290	3127	28752	2029	8475	2499	1225	546	5787	2314	6442	5564	8645	183	247	135	206	391	394	473
597	science	science	nn1	0.31	  	68304	147.10	104.21	8.17	91.97	88.78	115.86	95.32	42.30	150.82	127.17	321.68	42.05	19.30	39.25	50.45	261.11	179.82	87.26	0.13	0.33	0.03	0.06	0.07	0.24	0.08	0.11	0.12	0.12	0.30	0.12	0.23	0.43	0.35	0.54	0.46	0.38	10421	817	8981	10600	15171	9109	3825	14412	11664	29294	419	307	285	528	4307	2757	1818	24620	1342	680	2711	2949	2654	3157	1932	6144	7048	6339	99	108	90	180	291	229	345
598	late	late	jj	0.06	  	68300	147.09	146.49	195.85	142.72	116.40	115.41	86.97	154.46	171.63	171.11	152.99	77.98	156.32	168.41	154.59	194.54	158.17	139.67	0.22	0.64	0.52	0.14	0.15	0.36	0.15	0.36	0.21	0.21	0.30	0.34	0.91	0.90	0.60	0.79	0.65	0.68	14649	19585	13937	13899	15111	8311	13968	16401	15694	13932	777	2487	1223	1618	3209	2425	2910	42304	2594	11537	6043	5875	3890	5934	6874	11009	12054	6433	302	423	189	309	424	326	621
599	current	current	jj	0.06	  	68298	147.09	133.08	7.78	87.93	61.07	35.25	71.18	36.93	143.08	182.80	304.38	63.03	19.49	154.09	136.05	195.27	170.30	191.74	0.20	0.56	0.03	0.12	0.10	0.17	0.13	0.13	0.17	0.21	0.47	0.24	0.36	0.90	0.58	0.82	0.70	0.66	13308	778	8587	7292	4615	6802	3340	13673	16766	27719	628	310	1119	1424	3221	2611	3995	37986	2257	722	5276	3856	1900	4805	2240	8840	12121	9980	208	166	190	301	438	349	605
600	significant	significant	jj	0.02	  	68085	146.63	119.09	5.89	49.92	33.93	15.93	68.42	14.23	84.50	82.24	490.20	40.45	11.50	49.30	63.25	154.59	313.93	141.11	0.15	0.48	0.02	0.07	0.06	0.11	0.12	0.06	0.11	0.11	0.54	0.17	0.25	0.55	0.44	0.76	0.81	0.59	11909	589	4875	4051	2086	6539	1287	8075	7543	44641	403	183	358	662	2550	4813	2940	29289	1956	529	2833	2525	1226	4479	968	5970	6301	11571	147	114	115	226	404	408	542
601	photograph	photograph	nn1	0.83	  	67852	146.13	25.23	6.55	20.38	15.03	5.51	16.13	48.16	595.14	14.42	41.33	24.39	51.54	40.48	21.78	14.49	7.76	27.84	0.10	0.23	0.02	0.02	0.02	0.03	0.02	0.12	0.26	0.02	0.06	0.13	0.48	0.53	0.24	0.19	0.12	0.23	2523	655	1990	1795	721	1541	4355	56871	1323	3764	243	820	294	228	239	119	580	19214	939	495	963	866	336	884	2050	14075	1009	1196	107	222	111	126	102	58	213
602	anyone	anyone	pn	0.08	  	67571	145.52	140.39	337.37	155.14	67.95	7.82	142.78	236.35	145.77	147.52	55.99	121.94	265.38	171.44	206.18	88.69	56.29	137.89	0.22	0.61	0.72	0.12	0.07	0.03	0.23	0.45	0.19	0.19	0.17	0.44	0.90	0.94	0.57	0.68	0.54	0.60	14039	33737	15150	8114	1024	13645	21373	13930	13530	5099	1215	4222	1245	2158	1463	863	2873	41560	2489	15817	5297	2815	302	8751	8474	10101	10697	3537	394	416	199	296	364	273	547
603	wrong	wrong	jj	0.03	  	67509	145.39	129.88	627.30	149.58	108.70	103.06	240.91	202.93	113.78	109.42	57.40	231.24	241.68	124.35	131.56	67.90	88.05	100.26	0.20	0.63	0.88	0.10	0.10	0.29	0.29	0.40	0.14	0.14	0.15	0.60	0.95	0.86	0.54	0.56	0.67	0.50	12988	62730	14607	12979	13495	23023	18351	10873	10036	5227	2304	3845	903	1377	1120	1350	2089	37177	2534	19392	4359	4071	3201	11010	7574	7579	7783	3231	533	441	181	280	300	338	461
604	county	county	nn1	0.73	  	67334	145.01	111.94	5.98	88.69	81.54	57.36	92.36	40.42	70.12	433.53	92.13	268.68	12.95	91.57	316.34	88.81	78.66	79.87	0.11	0.31	0.02	0.08	0.08	0.18	0.09	0.10	0.06	0.19	0.09	0.21	0.21	0.53	0.47	0.35	0.34	0.29	11194	598	8661	9736	7511	8826	3655	6701	39762	8390	2677	206	665	3311	1465	1206	1664	20908	1258	477	3322	3114	1994	3355	1682	3156	10764	1951	178	99	112	242	186	171	270
605	certainly	certainly	rr	0.13	  	67325	144.99	179.62	127.63	133.77	153.07	176.34	321.04	101.84	96.20	96.97	102.79	310.33	192.65	183.28	151.25	142.89	186.74	176.19	0.20	0.70	0.41	0.11	0.14	0.41	0.36	0.25	0.13	0.13	0.25	0.62	0.83	0.93	0.64	0.72	0.80	0.65	17962	12763	13063	18277	23089	30680	9209	9193	8894	9361	3092	3065	1331	1583	2357	2863	3671	38529	2843	8964	4867	5596	4513	13783	4683	7169	7472	5422	550	387	197	329	383	403	594
606	technology	technology	nn1	0.16	  	67265	144.86	115.76	3.31	39.44	4.72	0.50	80.72	21.92	184.41	148.22	289.42	34.22	8.11	83.86	73.47	303.97	102.73	150.66	0.12	0.37	0.01	0.04	0.01	0.00	0.09	0.06	0.13	0.11	0.26	0.14	0.15	0.57	0.41	0.70	0.40	0.47	11576	331	3851	564	66	7714	1982	17622	13594	26356	341	129	609	769	5014	1575	3139	23237	1515	311	1781	341	40	3357	978	6968	6298	5636	114	70	121	210	374	200	426
607	west	west	nn1	0.79	  	67220	144.77	134.55	7.34	156.07	164.39	110.70	92.36	82.74	162.56	249.40	137.43	71.96	50.16	178.33	260.83	161.50	103.71	175.71	0.17	0.51	0.03	0.15	0.15	0.29	0.13	0.19	0.15	0.20	0.21	0.22	0.53	0.86	0.63	0.67	0.46	0.58	13455	734	15241	19628	14495	8826	7482	15534	22874	12515	717	798	1295	2730	2664	1590	3661	32145	2061	616	6280	5947	3160	4825	3542	8042	11368	4368	192	244	182	328	358	229	528
608	position	position	nn1	0.02	  	67076	144.46	220.48	57.61	169.22	183.44	180.09	142.82	82.14	145.65	131.92	219.50	133.59	101.26	185.07	158.12	248.56	393.24	286.92	0.19	0.70	0.20	0.16	0.20	0.44	0.19	0.21	0.15	0.15	0.36	0.41	0.79	0.88	0.61	0.85	0.91	0.74	22048	5761	16525	21903	23580	13649	7428	13918	12099	19989	1331	1611	1344	1655	4100	6029	5978	35695	2822	4353	6737	7997	4743	7424	3955	7954	8690	7672	367	366	185	314	455	457	678
609	land	land	nn1	0.12	  	66804	143.87	182.35	12.48	177.00	217.23	250.61	72.15	115.14	153.72	155.98	225.17	170.32	101.64	107.27	131.47	272.87	282.16	189.06	0.14	0.50	0.05	0.11	0.15	0.40	0.10	0.22	0.13	0.12	0.20	0.25	0.73	0.76	0.49	0.60	0.48	0.55	18235	1248	17285	25938	32814	6895	10412	14689	14306	20505	1697	1617	779	1376	4501	4326	3939	25908	2034	1007	4765	5883	4390	3706	4173	6730	6977	4322	215	338	160	255	319	239	508
