TS,soundSpel,note,Rondthaler,SSmatchRond,pronunciation,longNote,multipleTS,multipleSS,alternatives,British
individualistically,indivijualistikaly,,,NA,,,,,,
individualists,indivijualists,,indivijualists,T,,,,,,
individualists’,indivijualists’,,,NA,,,,,,
individualist’s,indivijualist’s,,,NA,,,,,,
individualities,indivijualitys,,,NA,,,,,,
individuality,indivijuality,,indivijuality,T,,,,,,
individualizable,indivijualiezabl,,,NA,,,,,,
individualize,indivijualiez,,indivijualiez,T,,,,,,
individualized,indivijualiezd,,indivijualiezd,T,,,,,,
individualizes,indivijualiezes,,,NA,,,,,,
individualizing,indivijualiezing,,indivijualiezing,T,,,,,,
individuals,indivijuals,,indivijuals,T,,,,,,
individuals’,indivijuals’,,,NA,,,,,,
individual’s,indivijual’s,,,NA,,,,,,
individuate,indivijuaet,,,NA,,,,,,
individuated,indivijuaeted,,,NA,,,,,,
individuates,indivijuaets,,,NA,,,,,,
individuating,indivijuaeting,,,NA,,,,,,
individuation,indivijuaeshon,,indivijuaeshun,F,,,,,,
individuations,indivijuaeshons,,,NA,,,,,,
indivisibilities,indivizibilitys,,,NA,,,,,,
indivisibility,indivizibility,,indivizibility,T,,,,,,
indivisible,indivizibl,,indivizibl,T,,,,,,
indivisibly,indivizibly,,indivizibly,T,,,,,,
indoctrinate,indoktrinaet,*,indoctrinaet,F,,,,,,
indoctrinated,indoktrinaeted,*,indoctrinaeted,F,,,,,,
indoctrinates,indoktrinaets,,,NA,,,,,,
indoctrinating,indoktrinaeting,,indoctrinaeting,F,,,,,,
indoctrination,indoktrinaeshon,*,indoctrinaeshun,F,,,,,,
indoctrinations,indoktrinaeshons,,,NA,,,,,,
indoctrinations’,indoktrinaeshons’,,,NA,,,,,,
indoctrination’s,indoktrinaeshon’s,,,NA,,,,,,
indoctrinator,indotrinaetor,,indoctrinaetor,F,,,,,,
indoctrinators,indoktrinaetors,,,NA,,,,,,
indoctrinators’,indoktriaetors’,,,NA,,,,,,
indoctrinator’s,indoktriaetor's,,,NA,,,,,,
indolence,indolenss,,indolens,F,,,,,,
indolent,indolent,,indolent,T,,,,,,
indolently,indolently,,indolently,T,,,,,,
indomitability,indomitability,,indomitability,T,,,,,,
indomitable,indomitabl,,indomitabl,T,,,,,,
indomitably,indomitably,,,NA,,,,,,
indoor,indor,,indor,T,,,,,,
indoors,indors,,indors,T,,,,,,
indorse,indorss,,,NA,,,,,,
indorsed,indorst,,endorst,F,,,,,,
indorses,indorses,,,NA,,,,,,
indorsing,indorsing,,,NA,,,,,,
indubitabilities,NO_TRANSLATION,!,,NA,,,,,,
indubitability,NO_TRANSLATION,!,,NA,,,,,,
indubitable,indoobitabl,,indoobitabl,T,,,,,,
indubitably,indoobitably,,indoobitably,T,,,,,,
induce,induess,*,indues,F,,,,,,
induced,induest,,induest,T,,,,,,
inducement,induesment,,induesment,T,,,,,,
inducements,induesments,,induesments,T,,,,,,
inducements’,induesments’,,,NA,,,,,,
inducement’s,induesment’s,,,NA,,,,,,
induces,indueses,,indueses,T,,,,,,
inducing,induesing,,induesing,T,,,,,,
induct,indukt,*,induct,F,,,,,,
inductance,induktanss,*,inductans,F,,,,,,
inductances,induktanses,,,NA,,,,,,
inductances’,induktanses’,,,NA,,,,,,
inductance’s,induktanse’s,,,NA,,,,,,
inducted,indukted,,inducted,F,,,,,,
inductee,induktee,,,NA,,,,,,
inductees,induktees,,inductees,F,,,,,,
inductees’,induktees’,,,NA,,,,,,
inductee’s,induktee’s,,,NA,,,,,,
inducting,indukting,,,NA,,,,,,
induction,indukshon,*,inducshun,F,,,,,,
inductions,indukshons,,inducshuns,F,,,,,,
inductions’,indukshons’,,,NA,,,,,,
induction’s,indukshon’s,,,NA,,,,,,
inductive,induktiv,,inductiv,F,,,,,,
inductively,induktivly,,,NA,,,,,,
inductor,induktor,,inductor,F,,,,,,
inductors,induktors,,,NA,,,,,,
inductors’,induktors’,,,NA,,,,,,
inductor’s,induktor’s,,,NA,,,,,,
inducts,indukts,,,NA,,,,,,
indulge,indulj,,indulj,T,,,,,,
indulged,induljd,,induljd,T,,,,,,
indulgence,induljenss,*,induljens,F,,,,,,
indulgences,induljenses,,induljenses,T,,,,,,
indulgences’,induljenses’,,,NA,,,,,,
indulgence’s,induljense’s,,,NA,,,,,,
indulgencies,induljensys,,,NA,,,,,,
indulgency,induljenys,,,NA,,,,,,
indulgent,induljent,,induljent,T,,,,,,
indulgently,induljently,,,NA,,,,,,
indulges,induljes,,,NA,,,,,,
indulging,induljing,,induljing,T,,,,,,
indurate,induuraet,,induraet,F,,,verb,,,
indurate,induurat,*,induraet,F,,,adj,,,
indurated,induuraeted,,,NA,,,,,,
indurates,induuraets,,,NA,,,,,,
indurating,induuraeting,,,NA,,,,,,
induration,induuraeshon,,induraeshun,F,,,,,,
indurations,induuraeshons,,,NA,,,,,,
indurations’,induuraeshons’,,,NA,,,,,,
induration’s,induuraeshon’s,,,NA,,,,,,
industrial,industrial,,industrial,T,,,,,,
industrialism,industrializm,,industrializm,T,,,,,,
industrialisms,industrializms,,,NA,,,,,,
industrialism’,industrializm’,,,NA,,,,,,
industrialism’s,industrializm's,,,NA,,,,,,
industrialist,industrialist,,industrialist,T,,,,,,
industrialists,industrialists,,industrialists,T,,,,,,
industrialists’,industrialists’,,,NA,,,,,,
industrialist’s,industrialist’s,,,NA,,,,,,
industrialization,industrializaeshon,,,NA,,,,,,
industrializations,industrializaeshons,,,NA,,,,,,
industrializations’,industrializaeshons’,,,NA,,,,,,
industrialization’s,industrializaeshon’s,,,NA,,,,,,
industrialize,industrialiez,,industrialiez,T,,,,,,
industrialized,industrialiezd,,industrialiezd,T,,,,,,
industrializes,industrialiezes,,,NA,,,,,,
industrializing,industrialiezing,,,NA,,,,,,
industrially,industrialy,,industrialy,T,,,,,,
industries,industrys,,industrys,T,,,,,,
industries’,industrys’,,,NA,,,,,,
industrious,industrius,,industrius,T,,,,,,
industriously,industriusly,,industriusly,T,,,,,,
industry,industry,,industry,T,,,,,,
industry’s,industry’s,,,NA,,,,,,
indwell,indwel,,,NA,,,,,,
indwelled,indweld,,,NA,,,,,,
indweller,indweler,,,NA,,,,,,
indwellers,indwelers,,,NA,,,,,,
indwellers’,indwelers’,,,NA,,,,,,
indweller’s,indweler’s,,,NA,,,,,,
indwelling,indweling,,indweling,T,,,,,,
indwells,indwels,,,NA,,,,,,
inebriate,ineebriaet,*,ineebriaet,T,,,,,,
inebriated,ineebriaeted,,,NA,,,,,,
inebriates,ineebriaets,,,NA,,,,,,
inebriate’s,ineebriaet’s,,,NA,,,,,,
inebriating,ineebriaeting,,,NA,,,,,,
inebriation,ineebriaeshon,,ineebriaeshun,F,,,,,,
inebriations,ineebriaeshons,,,NA,,,,,,
inebrieties,inibrieitys,,,NA,,,,,,
inebriety,inibrieity,*,inibrieity,T,,,,,,
inedibility,inedibility,,,NA,,,,,,
inedible,inedible,,inedibl,F,,,,,,
inedited,inedited,,inedited,T,,,,,,
ineducability,inejucability,,,NA,,,,,,
ineducable,inejucabl,*,inejucabl,T,,,,,,
ineffability,inefability,,inefability,T,,,,,,
ineffable,inefabl,,inefabl,T,,,,,,
ineffably,ineffably,,inefably,F,,,,,,
ineffaceability,inefaesability,,inefaesability,T,,,,,,
ineffaceable,inefaesabl,,inefaesabl,T,,,,,,
ineffaceably,inefaesably,,,NA,,,,,,
ineffective,inefektiv,,inefectiv,F,,,,,,
ineffectively,inefektivly,,inefectivly,F,,,,,,
ineffectiveness,inefektivnes,,inefectivnes,F,,,,,,
ineffectual,inefekshual,,inefekchual,F,,,,,,
ineffectually,inefekshualy,,inefekchualy,F,,,,,,
inefficacies,ineficasys,,,NA,,,,,,
inefficacious,ineficaeshus,,ineficaeshus,T,,,,,,
inefficaciously,ineficaeshusly,,,NA,,,,,,
inefficacy,ineficasy,,ineficasy,T,,,,,,
inefficiencies,inefishensys,,,NA,,,,,,
inefficiency,inefishensy,,inefishensy,T,,,,,,
inefficient,inefishent,,inefishent,T,,,,,,
inefficiently,inefishently,,,NA,,,,,,
inelastic,inelastik,*,inelastic,F,,,,,,
inelasticity,inelastisity,,inelastisity,T,,,,,,
inelegance,ineleganss,*,inelegans,F,,,,,,
inelegant,inelegant,,inelegant,T,,,,,,
inelegantly,inelegantly,,,NA,,,,,,
ineligibilities,inelijibilitys,,,NA,,,,,,
ineligibility,inelijibility,,inelijibility,T,,,,,,
ineligible,inelijibl,,inelijibl,T,,,,,,
ineligibly,inelijibly,,,NA,,,,,,
ineloquence,ineloqenss,,,NA,,,,,,
ineloquent,ineloqent,,ineloqent,T,,,,,,
ineloquently,ineloqently,,,NA,,,,,,
ineluctable,ineluktabl,,ineluctabl,F,,,,,,
ineluctably,ineluktably,,ineluctably,F,,,,,,
inept,inept,,inept,T,,,,,,
inepter,inepter,,,NA,,,,,,
ineptest,ineptest,,,NA,,,,,,
ineptitude,ineptitued,,ineptitued,T,,,,,,
ineptitudes,ineptitueds,,,NA,,,,,,
ineptitudes’,ineptitueds’,,,NA,,,,,,
ineptitude’s,ineptitued’s,,,NA,,,,,,
ineptly,ineptly,,ineptly,T,,,,,,
ineptness,ineptness,,ineptnes,F,,,,,,
inequalities,inqolitys,,,NA,,,,,,
inequalities’,ineqolitys’,,,NA,,,,,,
inequality,ineqolity,,ineqolity,T,,,,,,
inequality’s,ineqolity’s,,,NA,,,,,,
inequitable,ineqitabl,,ineqitabl,T,,,,,,
inequitably,ineqitably,,,NA,,,,,,
inequities,ineqitys,,ineqitys,T,,,,,,
inequities’,ineqitys’,,,NA,,,,,,
inequity,ineqity,,ineqity,T,,,,,,
inequity’s,ineqity’s,,,NA,,,,,,
ineradicable,ineradicabl,*,ineradicabl,T,,,,,,
ineradicably,ineradicably,,ineradicably,T,,,,,,
inerrancy,ierransy,,inerransy,F,,,,,,
inerrant,inerrant,,inerrant,T,,,,,,
inerrantly,inerrantly,,,NA,,,,,,
inert,inurt,,inert,F,,,,,,
inertia,inursha,,inersha,F,,,,,,
inertial,inurshal,,inershal,F,,,,,,
inertially,inurshaly,,,NA,,,,,,
inertly,inurtly,,,NA,,,,,,
inertness,inurtnes,,,NA,,,,,,
inescapability,inesaepability,,,NA,,,,,,
inescapable,inescaepabl,,inescaepabl,T,,,,,,
inescapably,inescaepably,,inescaepably,T,,,,,,
inestimable,inestimabl,,inestimabl,T,,,,,,
inestimably,inestimably,,inestimably,T,,,,,,
inevitability,inevitability,,inevitability,T,,,,,,
inevitable,inevitabl,,inevitabl,T,,,,,,
inevitableness,inevitablnes,,,NA,,,,,,
inevitably,inevitably,,inevitably,T,,,,,,
inexact,inexakt,,inexact,F,,,,,,
inexactitude,inexaktitued,,,NA,,,,,,
inexactitudes,inexaktitueds,,,NA,,,,,,
inexactitudes’,inexaktitueds’,,,NA,,,,,,
inexactitude’s,inexaktitued’s,,,NA,,,,,,
inexactly,inexaktly,,,NA,,,,,,
inexactness,inexaktnes,,,NA,,,,,,
inexcusability,inexcuezability,,,NA,,,,,,
inexcusable,inexcuezabl,,inexcuezabl,T,,,,,,
inexcusably,inexcuezably,,inexcuezably,T,,,,,,
inexhaustibility,inehaustibility,,inexaustibility,F,,,,,,
inexhaustible,inexaustibl,,inexaustibl,T,,,,,,
inexhaustibly,inexaustibly,,inexaustibly,T,,,,,,
inexorabilities,inexorabilitys,,,NA,,,,,,
inexorability,inexorability,,,NA,,,,,,
inexorable,inexsorabl,*,inexorabl,F,,,,,,
inexorably,inexsorably,*,inexorably,F,,,,,,
inexpedience,inexpeedi’enss,*,,NA,,,,,,
inexpediencies,inexpeedi’ensys,,,NA,,,,,,
inexpediency,inexpeedi’ensy,,inexpeedyensy,F,,,,,,
inexpedient,inexpeedi’ent,*,inexpeedyent,F,,,,,,
inexpediently,inexpeedi’ently,,,NA,,,,,,
inexpensive,inexpensiv,,inexpensiv,T,,,,,,
inexpensively,inexpensivly,,,NA,,,,,,
inexpensiveness,inexpensivnes,,,NA,,,,,,
inexperience,inexpeeri’enss,*,inexpeeryens,F,,,,,,
inexperienced,inexpeer’enst,*,inexpeeryenst,F,,,,,,
inexpert,inexpert,,inexpert,T,,,,,,
inexpertly,inexpertly,,,NA,,,,,,
inexpertness,inexpertnes,,,NA,,,,,,
inexplicabilities,inexplicabilitys,,,NA,,,,,,
inexplicability,inexplicability,,inexplicability,T,,,,,,
inexplicable,inexplicabl,,inexplicabl,T,,,,,,
inexplicableness,inexplicablnes,,,NA,,,,,,
inexplicably,inexplicably,,inexplicably,T,,,,,,
inexpressibilities,inexpresibilitys,,,NA,,,,,,
inexpressibility,inexpresibilty,,,NA,,,,,,
inexpressible,inexpresibl,,inexpresibl,T,,,,,,
inexpressibly,inexpresibly,,inexpresibly,T,,,,,,
inexpressive,inexpresiv,,inexpresiv,T,,,,,,
inexpressively,inexpresivly,,,NA,,,,,,
inexpressiveness,inexpresivnes,,,NA,,,,,,
inexpugnability,inexpugnability,,,NA,,,,,,
inexpugnable,inexpugnabl,,inexpugnabl,T,,,,,,
inexpugnably,inexpugnably,,inexpugnably,T,,,,,,
inextensibilities,inextensibilitys,,,NA,,,,,,
inextensibility,inextensibility,,,NA,,,,,,
inextensible,inextensibl,,inextensibl,T,,,,,,
inextricabilities,inextricabilitys,,,NA,,,,,,
inextricability,inextricability,,inextricability,T,,,,,,
inextricable,inextricabl,*,inextricabl,T,,,,,,
inextricably,inextricably,,inextricably,T,,,,,,
infallibilities,ifalibilitys,,,NA,,,,,,
infallibility,infalibility,,infalibility,T,,,,,,
infallible,infalibl,,infalibl,T,,,,,,
infallibly,infalibly,,infalibly,T,,,,,,
infamies,infamys,,,NA,,,,,,
infamous,infamus,,infamus,T,,,,,,
infamously,infamusly,,,NA,,,,,,
infamy,infamy,,infamy,T,,,,,,
infancies,infansys,,,NA,,,,,,
infancy,infancy,,infansy,F,,,,,,
infant,infant,,infant,T,,,,,,
infanticidal,infantisiedal,,,NA,,,,,,
infanticidally,infantisiedaly,,,NA,,,,,,
infanticide,infantisied,,infantisied,T,,,,,,
infanticides,infantisieds,,,NA,,,,,,
infantile,infantiel,,infantiel,T,,,,,,
infantilism,infantilizm,,infantilizm,T,,,,,,
infantilities,infantilitys,,,NA,,,,,,
infantility,infatility,,infantility,F,,,,,,
infantries,infantrys,,,NA,,,,,,
infantry,infantry,,infantry,T,,,,,,
infantryman,infantryman,,infantryman,T,,,,,,
infantryman’s,infantryman’s,,,NA,,,,,,
infantrymen,infantrymen,,infantrymen,T,,,,,,
infantrymen’s,infantrymen’s,,,NA,,,,,,
infants,infants,,infants,T,,,,,,
infants’,infants’,,,NA,,,,,,
infant’s,infant’s,,,NA,,,,,,
infarct,infarkt,,infarct,F,,,,,,
infarction,infarkshon,,infarcshun,F,,,,,,
infarctions,infarkshons,,,NA,,,,,,
infarctions’,infarkshons’,,,NA,,,,,,
infarction’s,infarkshon’s,,,NA,,,,,,
infarcts,infarkts,,,NA,,,,,,
infatuate,infachuaet,,infachuaet,T,,,,,,
infatuated,infachuated,,,NA,,,,,,
infatuates,infachuaets,,,NA,,,,,,
infatuating,infachuaeting,,,NA,,,,,,
infatuation,infachuaeshon,,infachuaeshun,F,,,,,,
infatuations,infachuaeshons,,,NA,,,,,,
infatuations’,infachuaeshons’,,,NA,,,,,,
infatuation’s,infachuaeshon’s,,,NA,,,,,,
infect,infekt,*,infect,F,,,,,,
infectabilities,infektabilitys,*,,NA,,,,,,
infectability,infektability,,,NA,,,,,,
infectable,infektabl,,,NA,,,,,,
infected,infekted,,infected,F,,,,,,
infecting,infekting,,,NA,,,,,,
infection,infekshon,*,infecshun,F,,,,,,
infections,infekshons,,infecshuns,F,,,,,,
infections’,infekshons’,,,NA,,,,,,
infection’s,infekshon’s,,,NA,,,,,,
infective,infektiv,,infectiv,F,,,,,,
infectively,infektivly,,,NA,,,,,,
infectiveness,infektivnes,,,NA,,,,,,
infectivity,infektivity,,,NA,,,,,,
infector,infektor,,infector,F,,,,,,
infectors,infektors,,,NA,,,,,,
infectors’,infektors’,,,NA,,,,,,
infector’s,infektor’s,,,NA,,,,,,
infects,infekts,,infects,F,,,,,,
infelicities,infelisitys,,,NA,,,,,,
infelicitous,infelisitus,,infelisitus,T,,,,,,
infelicitously,infelisitusly,,,NA,,,,,,
infelicity,infelisity,,infelisity,T,,,,,,
infer,infur,,infer,F,,,,,,
inferable,infurabl,,inferabl,F,,,,,,
inferably,infurably,,,NA,,,,,,
inference,inferenss,*,inferens,F,,,,,,
inferenced,inferenst,,,NA,,,,,,
inferences,inferenses,,inferenses,T,,,,,,
inferences’,inferenses’,,,NA,,,,,,
inference’s,inferense’s,,,NA,,,,,,
inferencing,inferensing,,,NA,,,,,,
inferential,inferenshal,,inferenshal,T,,,,,,
inferentially,inferenshaly,,inferenshaly,T,,,,,,
inferior,infeerior,,infeerior,T,,,,,,
inferiorities,infeerioritys,,,NA,,,,,,
inferiority,infeeriority,,infeeriority,T,,,,,,
inferiors,infeeriors,,,NA,,,,,,
inferiors’,infeeriors’,,,NA,,,,,,
inferior’s,infeerior’s,,,NA,,,,,,
infernal,infurnal,,infernal,F,,,,,,
infernally,infurnaly,,infernaly,F,,,,,,
inferno,infurno,,inferno,F,,,,,,
infernos,infurnoes,,,NA,,,,,,
infernos’,infurnoes’,,,NA,,,,,,
inferno’s,infurnoe’s,,,NA,,,,,,
inferred,infurd,,inferd,F,,,,,,
inferring,infuring,,infering,F,,,,,,
infers,infurs,,,NA,,,,,,
infertile,infurtal,,infertil,F,,,,,,
infertilities,infertilitys,,,NA,,,,,,
infertility,infertility,,infertility,T,,,,,,
infest,infest,,infest,T,,,,,,
infestation,infestaeshon,*,infestaeshun,F,,,,,,
infestations,infestaeshons,*,infestaeshuns,F,,,,,,
infestations’,infestaeshons’,,,NA,,,,,,
infestation’s,infestaeshon’s,,,NA,,,,,,
infested,infested,,infested,T,,,,,,
infesting,infesting,,,NA,,,,,,
infests,infests,,,NA,,,,,,
infidel,infidel,,infidel,T,,,,,,
infidelities,infidelitys,,,NA,,,,,,
infidelity,infidelity,,infidelity,T,,,,,,
infidels,infidels,,infidels,T,,,,,,
infidels’,infidels’,,,NA,,,,,,
infidel’s,infidel’s,,,NA,,,,,,
infield,infeeld,,infeeld,T,,,,,,
infielder,infeelder,,infeelder,T,,,,,,
infielders,infeelders,,infeelders,T,,,,,,
infielders’,infeelders’,,,NA,,,,,,
infielder’s,infeelder’s,,,NA,,,,,,
infields,infeelds,,,NA,,,,,,
infields’,infeelds’,,,NA,,,,,,
infield’s,infeeld’s,,,NA,,,,,,
infight,infiet,,,NA,,,,,,
infighting,infieting,,infieting,T,,,,,,
infightings,infietings,,,NA,,,,,,
infights,infiets,,,NA,,,,,,
infiltrate,infiltraet,,infiltraet,T,,,,,,
infiltrated,infiltraeted,,infiltraeted,T,,,,,,
infiltrates,infiltraets,,,NA,,,,,,
infiltrating,infiltraeting,,infiltraeting,T,,,,,,
infiltration,infiltraeshon,*,infiltraeshun,F,,,,,,
infiltrations,infiltraeshons,,,NA,,,,,,
infiltrations’,infiltraeshons’,,,NA,,,,,,
infiltration’s,infiltraeshon’s,,,NA,,,,,,
infiltrator,infiltraetor,,infiltraetor,T,,,,,,
infiltrators,infiltraetors,,,NA,,,,,,
infiltrators’,infiltraetors’,,,NA,,,,,,
infiltrator’s,infiltraetor’s,,,NA,,,,,,
infinite,infinit,,infinit,T,,,,,,
infinitely,infinitly,,infinitly,T,,,,,,
infinitesimal,infinitesimal,,infinitesimal,T,,,,,,
infinitesimally,infinitesimaly,,infinitesimaly,T,,,,,,
infinities,infinitys,,,NA,,,,,,
infinities’,infinitys’,,,NA,,,,,,
infinitive,infinitiv,,infinitiv,T,,,,,,
infinitives,infinitivs,,,NA,,,,,,
infinitives’,infinitivs’,,,NA,,,,,,
infinitive’s,infinitiv’s,,,NA,,,,,,
infinitude,infinitued,,infinitued,T,,,,,,
infinitudes,infinitueds,,,NA,,,,,,
infinitudes’,infinitueds’,,,NA,,,,,,
infinitude’s,infinitued’s,,,NA,,,,,,
infinity,infinity,,infinity,T,,,,,,
infinity’s,infinity’s,,,NA,,,,,,
infirm,infurm,,inferm,F,,,,,,
infirmaries,infurmarys,,,NA,,,,,,
infirmary,infurmary,,infermary,F,,,,,,
infirmities,infurmitys,,infermitys,F,,,,,,
infirmities’,infurmitys’,,,NA,,,,,,
infirmity,infurmity,,infermity,F,,,,,,
infirmity’s,inurmity’s,,,NA,,,,,,
inflame,inflaem,,inflaem,T,,,,,,
inflamed,inflamed,,inflaemd,F,,,,,,
inflames,inflaems,,,NA,,,,,,
inflaming,inflaeming,,inflaeming,T,,,,,,
inflammabilities,inflamabilitys,,,NA,,,,,,
inflammability,inflamability,,,NA,,,,,,
inflammable,inflamabl,,inflamabl,T,,,,,,
inflammably,inflamably,,,NA,,,,,,
inflammation,inflamaeshon,,inflamaeshun,F,,,,,,
inflammations,inflamaeshons,,,NA,,,,,,
inflammations’,inflamaeshons’,,,NA,,,,,,
inflammation’s,inflamaeshon’s,,,NA,,,,,,
inflammatory,inflamatory,,inflamatory,T,,,,,,
inflatabilities,inflaetabilitys,,,NA,,,,,,
inflatability,inflaetability,,,NA,,,,,,
inflatable,inflaetabl,,inflaetabl,T,,,,,,
inflatables,inflaetabls,,,NA,,,,,,
inflate,inflaet,,inflaet,T,,,,,,
inflated,inflaeted,,inflaeted,T,,,,,,
inflates,inflaets,,,NA,,,,,,
inflating,inflaeting,,inflaeting,T,,,,,,
inflation,inflaeshon,*,inflaeshun,F,,,,,,
inflationary,inflaeshonarry,*,inflaeshunairy,F,,,,,,
inflations,inflaeshons,,,NA,,,,,,
inflations’,inflaeshons’,,,NA,,,,,,
inflation’s,inflaeshon’s,,,NA,,,,,,
inflect,inflekt,,inflect,F,,,,,,
inflected,inflekted,,inflected,F,,,,,,
inflecting,inflekting,,inflecting,F,,,,,,
inflection,inflekshon,,inflecshun,F,,,,,,
inflections,inflekshons,,inflecshuns,F,,,,,,
inflections’,inflekshons’,,,NA,,,,,,
inflection’s,inflekshon’s,,,NA,,,,,,
inflects,inflekts,,,NA,,,,,,
inflexibilities,inflexsibilitys,,,NA,,,,,,
inflexibility,inflexsibility,,inflexibility,F,,,,,,
inflexible,inflexsibl,*,inflexibl,F,,,,,,
inflexibly,inflexsibly,,inflexibly,F,,,,,,
inflexion,inflexshon,,,NA,,,,,,
inflexions,inflexshons,,,NA,,,,,,
inflict,inflikt,,inflict,F,,,,,,
inflicted,inflikted,,inflicted,F,,,,,,
inflicting,inflikting,,inflicting,F,,,,,,
infliction,inflikshon,,inflicshun,F,,,,,,
inflictions,inflikshons,,,NA,,,,,,
inflictions’,inflikshons’,,,NA,,,,,,
infliction’s,inflikshon’s,,,NA,,,,,,
inflicts,inflikts,,,NA,,,,,,
inflow,inflo,,inflo,T,,,,,,
inflowed,infloed,,,NA,,,,,,
inflowing,infloeing,,,NA,,,,,,
inflows,infloes,,,NA,,,,,,
inflows’,infloes’,,,NA,,,,,,
inflow’s,infloe’s,,,NA,,,,,,
influence,inflooenss,,inflooens,F,,,,,,
influenced,inflooenst,,inflooenst,T,,,,,,
influences,inflooenses,,inflooenses,T,,,,,,
influencing,inflooensing,,inflooensing,T,,,,,,
influent,inflooent,,inflooent,T,,,,,,
influential,inflooenshal,,inflooenshal,T,,,,,,
influentially,inflooenshaly,,,NA,,,,,,
influents,inflooents,,,NA,,,,,,
influenza,inflooenza,,inflooenza,T,,,,,,
influenzas,inflooenzas,,,NA,,,,,,
influx,influx,,influx,T,,,,,,
influxes,influxes,,,NA,,,,,,
influxes’,influxes’,,,NA,,,,,,
influx’s,influxe’s,,,NA,,,,,,
inform,inform,,inform,T,,,,,,
informal,informal,,informal,T,,,,,,
informalities,informalitys,,,NA,,,,,,
informality,informality,,informality,T,,,,,,
informally,informaly,,informaly,T,,,,,,
informant,informant,,informant,T,,,,,,
informants,informants,,informants,T,,,,,,
informants’,informants’,,,NA,,,,,,
informant’s,informant’s,,,NA,,,,,,
information,informaeshon,,informaeshun,F,,,,,,
informational,informaeshonal,,informaeshunal,F,,,,,,
informationally,informaeshonaly,,,NA,,,,,,
informative,informativ,,informativ,T,,,,,,
informatively,informativly,,,NA,,,,,,
informed,informd,,informd,T,,,,,,
informer,informer,,informer,T,,,,,,
informers,informers,,,NA,,,,,,
informers’,informers’,,,NA,,,,,,
informer’s,informer’s,,,NA,,,,,,
informing,informing,,informing,T,,,,,,
informs,informs,,informs,T,,,,,,
infosystem,info-sistem,,,NA,,,,,,
infosystems,info-sistems,,info-sistems,T,,,,,,
infra,infra,,infra,T,,,,,,
infract,infrakt,,,NA,,,,,,
infracted,infrakted,,,NA,,,,,,
infracting,infrakting,,,NA,,,,,,
infraction,infrakshon,,infracshun,F,,,,,,
infractions,infrakshons,,,NA,,,,,,
infractions’,infrakshons’,,,NA,,,,,,
infraction’s,infrakshon’s,,,NA,,,,,,
infracts,infrakts,,,NA,,,,,,
infrangibility,infranjibility,,infranjibility,T,,,,,,
infrangible,infranjibl,,infranjibl,T,,,,,,
infrangibly,infranjibly,,infranjibly,T,,,,,,
infrared,infra-red,,infra-red,T,,,,,,
infrareds,infra-reds,,,NA,,,,,,
infrasonic,infra-sonik,,infra-sonic,F,,,,,,
infrequent,infreeqent,,infreeqent,T,,,,,,
infrequently,infreeqently,,infreeqently,T,,,,,,
infringe,infrinj,,infrinj,T,,,,,,
infringeable,infrinjabl,,,NA,,,,,,
infringed,infrinjd,,infrinjd,T,,,,,,
infringement,infrinjment,,infrinjment,T,,,,,,
infringements,infrinjments,,infrinjments,T,,,,,,
infringer,infrinjer,,infrinjer,T,,,,,,
infringers,infrinjers,,infrinjers,T,,,,,,
infringers’,infrinjers’,,,NA,,,,,,
infringer’s,infrinjer’s,,,NA,,,,,,
infringes,infrinjes,,infrinjes,T,,,,,,
infringing,infrinjing,,infrinjing,T,,,,,,
infuriate,infueriaet,,infueriaet,T,,,,,,
infuriated,infueriaeted,,infueriaeted,T,,,,,,
infuriates,infueriaets,,,NA,,,,,,
infuriating,infueriaeting,,infueriaeting,T,,,,,,
infuriatingly,infueriaetingly,,,NA,,,,,,
infuriation,infueriaeshon,,infueriaeshun,F,,,,,,
infuriation’s,infueriaeshon’s,,,NA,,,,,,
infuse,infuez,,infuez,T,,,,,,
infused,infuezd,,,NA,,,,,,
infuses,infuezes,,,NA,,,,,,
infusibility,infuezibility,,,NA,,,,,,
infusible,infuezibl,,,NA,,,,,,
infusing,infuezing,,,NA,,,,,,
infusion,infuezhon,,infuezhun,F,,,,,,
infusions,infuezhons,,,NA,,,,,,
infusions’,infuezhons’,,,NA,,,,,,
infusion’s,infuezhon’s,,,NA,,,,,,
ingather,ingather,,,NA,,,,,,
ingathered,ingatherd,,,NA,,,,,,
ingathering,ingathering,,in-gathering,F,,,,,,
ingathers,ingathers,,,NA,,,,,,
ingenious,injeenius,,injeenius,T,,,,,,
ingeniously,injeeniusly,,injeeniusly,T,,,,,,
ingenue,anzhenoo,,anzhenoo,T,,,,,,
ingenues,anzhenoos,,,NA,,,,,,
ingenues’,anzhenoos’,,,NA,,,,,,
ingenue’s,anzhenoo’s,,,NA,,,,,,
ingenuities,injenueitys,,,NA,,,,,,
ingenuity,injenueity,*,injenooity,F,,,,,,
ingenuous,injenueus,,injenueus,T,,,,,,
ingenuously,injenueusly,,,NA,,,,,,
ingest,injest,,injest,T,,,,,,
ingested,injested,,injested,T,,,,,,
ingestible,injestibl,,injestibl,T,,,,,,
ingesting,injesting,,,NA,,,,,,
ingestion,injeschon,,injeschun,F,,,,,,
ingestions,injeschons,,,NA,,,,,,
ingests,injests,,,NA,,,,,,
inglorious,inglorius,,inglorius,T,,,,,,
ingloriously,ingloriusly,,ingloriusly,T,,,,,,
